City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Norman Wells,CA,2021-05-17 03:19:36,65.282,-126.8329,46.4,57,75,4.61
98,Pathein,MM,2021-05-17 03:19:37,16.7833,94.7333,94.3,49,20,12.88
99,Port Alfred,ZA,2021-05-17 03:16:40,-33.5906,26.891,56.75,67,12,16.49
100,Provideniya,RU,2021-05-17 03:16:17,64.3833,-173.3,33.8,80,75,8.95
101,Bathsheba,BB,2021-05-17 03:16:30,13.2167,-59.5167,78.8,69,40,19.57
102,Tuktoyaktuk,CA,2021-05-17 03:19:38,69.4541,-133.0374,33.8,80,1,14.97
103,Klaksvik,FO,2021-05-17 03:19:39,62.2266,-6.589,44.6,87,90,10.36
104,Roald,NO,2021-05-17 03:19:40,62.5833,6.1333,46.4,87,90,4.61
105,Hofn,IS,2021-05-17 03:19:40,64.2539,-15.2082,38.95,65,100,13.85
106,Mahebourg,MU,2021-05-17 03:19:41,-20.4081,57.7,77.0,73,75,11.5
107,Abalak,RU,2021-05-17 03:19:41,58.1286,68.5944,73.49,42,97,9.89
108,Puerto Ayora,EC,2021-05-17 03:19:42,-0.7393,-90.3518,75.99,95,14,3.0
109,Quartucciu,IT,2021-05-17 03:19:42,39.2519,9.1794,64.0,94,0,4.61
110,Awjilah,LY,2021-05-17 03:19:43,29.1081,21.2869,65.25,54,0,7.14
111,Phalodi,IN,2021-05-17 03:19:44,27.1333,72.3667,93.67,26,99,8.48
112,Saint-Augustin,CA,2021-05-17 03:19:45,51.226,-58.6502,38.25,75,15,5.64
113,Alofi,NU,2021-05-17 03:19:46,-19.0595,-169.9187,80.6,78,5,13.8
114,Port Blair,IN,2021-05-17 03:18:29,11.6667,92.75,89.6,84,40,1.14
115,San Fernando,PH,2021-05-17 03:19:47,15.0286,120.6898,95.0,49,75,4.61
116,Charters Towers,AU,2021-05-17 03:19:47,-20.1,146.2667,73.72,30,0,8.46
117,Beringovskiy,RU,2021-05-17 03:19:48,63.05,179.3167,31.89,99,100,3.36
118,Bonavista,CA,2021-05-17 03:19:48,48.6499,-53.1147,34.0,86,33,3.44
119,Khatanga,RU,2021-05-17 03:16:25,71.9667,102.5,20.59,89,100,7.54
120,Hasaki,JP,2021-05-17 03:19:49,35.7333,140.8333,78.8,78,75,19.57
121,Mataura,NZ,2021-05-17 03:19:50,-46.1927,168.8643,51.01,78,58,5.99
122,Guymon,US,2021-05-17 03:15:00,36.6828,-101.4816,64.4,55,75,20.71
123,Matagami,CA,2021-05-17 03:19:51,49.7502,-77.6328,50.0,93,1,9.22
124,Puerto Escondido,MX,2021-05-17 03:19:51,15.85,-97.0667,84.2,70,40,4.61
125,Port-Gentil,GA,2021-05-17 03:19:52,-0.7193,8.7815,80.98,80,91,10.49
126,Faanui,PF,2021-05-17 03:19:53,-16.4833,-151.75,82.08,68,26,15.28
127,Laguna,US,2021-05-17 03:18:01,38.421,-121.4238,63.0,63,1,13.8
128,Necochea,AR,2021-05-17 03:19:54,-38.5473,-58.7368,52.36,76,0,7.67
129,Katherine,AU,2021-05-17 03:19:54,-14.4667,132.2667,82.4,24,0,14.97
130,Gazojak,TM,2021-05-17 03:19:55,41.1875,61.4036,76.48,19,0,18.01
131,Ugoofaaru,MV,2021-05-17 03:19:56,5.6667,73.0,84.74,74,75,15.35
132,Yinchuan,CN,2021-05-17 03:19:56,38.4681,106.2731,68.61,14,67,5.23
133,Nokaneng,BW,2021-05-17 03:19:57,-19.6667,22.2667,57.09,40,1,2.35
134,Mahajanga,MG,2021-05-17 03:19:57,-15.7167,46.3167,68.0,77,20,4.61
135,Aklavik,CA,2021-05-17 03:19:58,68.2191,-135.0107,51.8,43,97,12.66
136,Kalmunai,LK,2021-05-17 03:19:58,7.4167,81.8167,85.91,69,52,0.54
137,Sirohi,IN,2021-05-17 03:19:59,24.8833,72.8667,82.53,54,100,18.19
138,Sitka,US,2021-05-17 03:19:59,57.0531,-135.33,46.4,71,90,6.91
139,Koutiala,ML,2021-05-17 03:15:56,12.3917,-5.4642,86.54,47,49,9.17
140,Tyukhtet,RU,2021-05-17 03:20:00,56.5389,89.3011,46.85,63,100,3.11
141,Vila Velha,BR,2021-05-17 03:20:01,-20.3297,-40.2925,71.01,88,40,2.3
142,Rundu,NA,2021-05-17 03:20:01,-17.9333,19.7667,55.02,48,0,3.83
143,Ixtapa,MX,2021-05-17 03:20:10,20.7,-105.2,80.01,89,1,3.44
144,New Norfolk,AU,2021-05-17 03:20:11,-42.7826,147.0587,55.99,66,33,1.99
145,Pisco,PE,2021-05-17 03:20:11,-13.7,-76.2167,63.0,94,90,2.3
146,Zhezkazgan,KZ,2021-05-17 03:20:12,47.8043,67.7144,72.19,44,6,10.45
147,Zhicheng,CN,2021-05-17 03:20:13,30.2956,111.5047,68.59,70,100,3.74
