City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
181,Camopi,GF,3.1655,-52.3158,71.96,99,100,1.32,overcast clouds
182,Steamboat Springs,US,40.485,-106.8317,57.2,47,40,8.05,scattered clouds
183,Umm Lajj,SA,25.0213,37.2685,81.27,50,0,2.8,clear sky
184,Nizhnevartovsk,RU,60.9344,76.5531,44.6,87,75,2.24,light rain
185,Klamath Falls,US,42.2249,-121.7817,69.8,28,1,12.66,clear sky
186,Kodiak,US,57.79,-152.4072,46.4,66,90,3.44,overcast clouds
187,Provideniya,RU,64.3833,-173.3,32.0,86,90,8.95,overcast clouds
188,Pacific Grove,US,36.6177,-121.9166,54.0,89,41,5.59,scattered clouds
189,La Orilla,MX,17.9833,-102.2333,80.92,72,0,3.78,clear sky
190,Camacha,PT,33.0833,-16.3333,66.2,77,75,9.22,broken clouds
191,Sioux Lookout,CA,50.1001,-91.917,59.0,67,90,3.44,overcast clouds
192,Pinar Del Rio,CU,22.4175,-83.6981,72.54,89,77,6.06,broken clouds
193,Nova Olimpia,BR,-14.7972,-57.2881,72.07,61,80,3.47,broken clouds
194,Castro,BR,-24.7911,-50.0119,53.1,92,40,2.17,scattered clouds
195,Vientiane,LA,17.9667,102.6,96.01,62,20,6.91,few clouds
196,Mao,ES,39.8885,4.2658,60.8,72,0,19.57,clear sky
197,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,0,13.8,clear sky
198,Fare,PF,-16.7,-151.0167,81.12,75,18,14.52,light rain
199,Bandarbeyla,SO,9.4942,50.8122,84.69,73,35,15.05,scattered clouds
200,Ilulissat,GL,69.2167,-51.1,32.0,86,22,2.3,few clouds
201,Balingasay,PH,16.3573,119.8564,88.48,59,13,1.61,few clouds
202,Islamkot,PK,24.6997,70.177,96.39,36,89,17.31,overcast clouds
203,Kalaleh,IR,37.3807,55.4916,66.2,68,0,1.9,clear sky
204,Hobart,AU,-42.8794,147.3294,57.0,41,40,18.41,scattered clouds
205,Yeniseysk,RU,58.4497,92.1703,49.37,32,96,5.01,overcast clouds
206,Prince Rupert,CA,54.3161,-130.3201,48.2,71,1,9.22,clear sky
207,Barcelos,PT,41.5388,-8.6151,52.0,93,0,3.31,clear sky
208,Pangnirtung,CA,66.1451,-65.7125,25.45,96,100,2.62,light snow
209,Puerto Ayora,EC,-0.7393,-90.3518,75.99,95,12,5.01,few clouds
210,Dali,CN,25.7,100.1833,76.32,37,15,6.76,few clouds
211,Kelo,TD,9.3086,15.8066,80.76,60,98,4.54,overcast clouds
212,Gebre Guracha,ET,9.8,38.4,53.82,87,100,2.15,overcast clouds
213,Marrakesh,MA,31.6315,-8.0083,64.4,52,14,2.3,few clouds
214,Hobyo,SO,5.3505,48.5268,81.03,79,90,19.69,overcast clouds
215,Vilkija,LT,55.05,23.5833,55.4,94,90,6.91,overcast clouds
216,Geraldton,AU,-28.7667,114.6,82.4,30,50,16.11,scattered clouds
217,Panaba,MX,21.2833,-88.2667,76.06,82,72,9.06,broken clouds
218,Klaksvik,FO,62.2266,-6.589,44.6,87,90,12.66,overcast clouds
219,Pasni,PK,25.2631,63.471,91.74,42,4,9.19,clear sky
220,Ostrovnoy,RU,68.0531,39.5131,36.72,79,100,4.59,overcast clouds
221,Saint-Philippe,RE,-21.3585,55.7679,75.2,56,20,4.61,few clouds
222,Lebu,CL,-37.6167,-73.65,52.61,78,100,5.3,overcast clouds
223,Barrow,US,71.2906,-156.7887,28.4,80,90,12.66,light snow
224,Albany,US,42.6001,-73.9662,54.0,87,100,3.11,overcast clouds
225,Mersing,MY,2.4312,103.8405,86.0,84,20,3.44,few clouds
226,Rocha,UY,-34.4833,-54.3333,49.66,78,78,1.99,broken clouds
227,Tshela,CD,-4.9833,12.9333,73.49,99,100,0.34,overcast clouds
228,Walvis Bay,NA,-22.9575,14.5053,51.8,93,98,7.07,overcast clouds
229,Goksun,TR,38.021,36.4973,55.4,82,0,6.91,clear sky
230,Kasempa,ZM,-13.4584,25.8338,55.22,65,8,4.36,clear sky
231,Ribeira Grande,PT,38.5167,-28.7,65.23,90,100,23.4,overcast clouds
232,Port Elizabeth,ZA,-33.918,25.5701,57.2,58,0,17.27,clear sky
233,Lensk,RU,60.7253,114.9278,33.28,46,100,13.42,overcast clouds
234,Sorland,NO,67.667,12.6934,44.67,86,100,5.84,overcast clouds
235,East London,ZA,-33.0153,27.9116,53.6,66,0,9.22,clear sky
236,Kushmurun,KZ,52.4503,64.6311,78.26,40,67,5.99,broken clouds
237,Hofn,IS,64.2539,-15.2082,38.79,64,100,13.85,overcast clouds
238,Haslett,US,42.747,-84.4011,59.0,63,1,4.61,clear sky
239,Gornyy,RU,55.1153,83.9059,60.01,73,86,1.99,overcast clouds
240,Lorengau,PG,-2.0226,147.2712,85.78,70,78,10.92,light rain
241,Muzhi,RU,65.3667,64.6667,37.33,79,100,9.69,overcast clouds
242,Nemuro,JP,43.3236,145.575,57.2,94,75,9.22,broken clouds
